Dosis;PTV;Recto;Bufeta
4188;100;12,4408;26,4261
4194;100;12,381;26,3501
4200;100;12,3216;26,2745
4206;100;12,2613;26,1985
4212;100;12,1967;26,1227
4218;100;12,142;26,0474
4224;100;12,0802;25,9724
4230;100;12,0239;25,8978
4236;100;11,9612;25,8233
4242;100;11,9049;25,7487
4248;100;11,8495;25,6741
4254;100;11,7988;25,5996
4260;100;11,7481;25,5254
4266;100;11,6954;25,4511
4272;100;11,639;25,3768
4278;100;11,5767;25,3025
4284;100;11,5131;25,2286
4290;100;11,4497;25,155
4296;100;11,3875;25,0815
4302;100;11,3221;25,0081
4308;100;11,2588;24,9348
4314;100;11,1906;24,862
4320;100;11,1254;24,7896
4326;100;11,0608;24,7175
4332;100;10,9938;24,6453
4338;100;10,9291;24,573
4344;100;10,8685;24,5011
4350;100;10,8072;24,4295
4356;100;10,7445;24,3581
4362;100;10,6833;24,287
4368;100;10,6217;24,2158
4374;100;10,5524;24,1445
4380;100;10,4975;24,0737
4386;100;10,4388;24,0028
4392;100;10,3858;23,9318
4398;100;10,3262;23,8607
4404;100;10,2707;23,7895
4410;100;10,2125;23,718
4416;100;10,1614;23,6471
4422;100;10,112;23,576
4428;100;10,0645;23,5049
4434;100;10,0166;23,4338
4440;100;9,96834;23,3632
4446;100;9,92066;23,2927
4452;100;9,8728;23,2224
4458;100;9,82375;23,1523
4464;100;9,77248;23,0824
4470;100;9,71825;23,0123
4476;100;9,66205;22,9422
4482;100;9,60454;22,8721
4488;100;9,53999;22,8021
4494;100;9,47685;22,7325
4500;100;9,41429;22,6631
4506;100;9,34851;22,5935
4512;100;9,28939;22,5242
4518;100;9,2302;22,4551
4524;100;9,17071;22,3859
4530;100;9,11998;22,3171
4536;100;9,05546;22,2487
4542;100;9,00513;22,1802
4548;100;8,95345;22,1118
4554;100;8,8918;22,0436
4560;100;8,84083;21,9753
4566;100;8,7902;21,9071
4572;100;8,72939;21,8389
4578;100;8,66752;21,7709
4584;100;8,6106;21,7027
4590;100;8,55821;21,6346
4596;100;8,50632;21,5665
4602;100;8,45859;21,4985
4608;100;8,41614;21,4305
4614;100;8,37342;21,3624
4620;100;8,32946;21,2944
4626;100;8,28417;21,2267
4632;100;8,23775;21,1591
4638;100;8,19033;21,0913
4644;100;8,14305;21,0236
4650;100;8,09473;20,956
4656;100;8,04376;20,8883
4662;100;7,98665;20,8204
4668;100;7,92985;20,7527
4674;100;7,87584;20,6851
4680;100;7,82211;20,6177
4686;100;7,76787;20,5501
4692;100;7,71331;20,4826
4698;100;7,65989;20,4155
4704;100;7,60396;20,3487
4710;100;7,55033;20,2821
4716;100;7,49794;20,2155
4722;100;7,44357;20,1487
4728;100;7,39026;20,0815
4734;100;7,33934;20,0144
4740;100;7,28864;19,9474
4746;100;7,23323;19,8804
4752;100;7,18569;19,8133
4758;100;7,14067;19,746
4764;100;7,08433;19,6789
4770;100;7,03293;19,6121
4776;100;6,97841;19,5453
4782;100;6,92992;19,4782
4788;100;6,88895;19,4107
4794;100;6,84682;19,3433
4800;100;6,80399;19,2759
4806;100;6,75969;19,2086
4812;100;6,71479;19,1411
4818;100;6,66936;19,0739
4824;100;6,62305;19,0064
4830;100;6,57309;18,9386
4836;100;6,52475;18,8707
4842;100;6,47612;18,8031
4848;100;6,42688;18,7356
4854;100;6,3801;18,6685
4860;100;6,332;18,6019
4866;100;6,28557;18,5353
4872;100;6,23762;18,4688
4878;100;6,18962;18,4023
